companyID,companyAbbreviation,companyName,Industry,companySize,url,date_scrape
1,"Guggenheim Investments","Guggenheim Investments",NULL,"1001-5000 employees",https://www.linkedin.com/showcase/guggenheim-investments,"2021-03-22 04:39:00"
2,"Caisse de d̩p̫t et placement du Qu̩bec (CDPQ)","Caisse de d̩p̫t et placement du Qu̩bec (CDPQ)",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/cdpq,"2021-03-22 04:40:00"
3,"BNY Mellon","BNY Mellon","Financial Services
Investment Management
and Investment Services","10,001 employees",https://www.linkedin.com/company/bny-mellon,"2021-03-22 04:41:00"
4,"NN Investment Partners","NN Investment Partners","Portfolio Management
Multi-Asset Strategies
Fund Management
ESG Investing
Integrated Client Solutions
Responsible Investing
DC Solutions
Tactical Asset Allocation
Quantitative Research
Fixed Income Strategies
Equity Strategies
Emerging Market Debt
and Al","1,001-5,000 employees",https://www.linkedin.com/company/nn-investment-partners,"2021-03-22 04:41:00"
5,"Voya Investment Management","Voya Investment Management","Equities
Fixed Income
Multi-Asset Strategies and Solutions
and Institutional Solutions","1,001-5,000 employees",https://www.linkedin.com/company/voya-investment-management,"2021-03-22 04:42:00"
6,"Swiss Life Asset Managers","Swiss Life Asset Managers",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/swiss-life-asset-management,"2021-03-22 04:43:00"
7,"AQR Capital Management","AQR Capital Management",NULL,"501-1,000 employees",https://www.linkedin.com/company/aqr-capital-management,"2021-03-22 04:43:00"
8,SEB,SEB,"finance
banking
advisory
wholesale banking
retail banking
mutual funds
life insurance
pension
personal finance
and private banking","10,001 employees",https://www.linkedin.com/company/seb,"2021-03-22 04:44:00"
9,"Lazard Asset Management","Lazard Asset Management","Investment Management","501-1,000 employees",https://www.linkedin.com/company/lazard-asset-management,"2021-03-22 04:45:00"
10,"Santander Asset Management","Santander Asset Management",NULL,"501-1,000 employees",https://www.linkedin.com/company/santanderam/,"2021-03-22 04:45:00"
11,"Nikko Asset Management Group","Nikko Asset Management Group","Fixed Income
Equities
Multi Asset
ETFs
and Multi-Manager","501-1,000 employees",https://www.linkedin.com/company/nikkoamgroup,"2021-03-22 04:46:00"
12,"The TCW Group","The TCW Group","Investment Management and Asset Management","501-1,000 employees",https://www.linkedin.com/company/thetcwgroup,"2021-03-22 04:47:00"
